timestamp,rule_id,rule_level,rule_description,agent_name,agent_ip,src_ip,dst_ip,protocol,full_log
2026-06-24T06:04:32.869+0000,510,7,Host-based anomaly detection event (rootcheck).,Wazuh-Manager,,,,,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).
2026-06-24T06:04:32.882+0000,510,7,Host-based anomaly detection event (rootcheck).,Wazuh-Manager,,,,,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).
2026-06-24T06:04:42.506+0000,2901,3,New dpkg (Debian Package) requested to install.,Wazuh-Manager,,,,,2026-06-24 06:04:41 install filebeat:amd64 <none> 7.10.2
2026-06-24T06:04:45.467+0000,502,3,Wazuh server started.,Wazuh-Manager,,,,,ossec: Manager started.
2026-06-24T06:04:49.365+0000,2904,7,Dpkg (Debian Package) half configured.,Wazuh-Manager,,,,,2026-06-24 06:04:47 status half-configured filebeat:amd64 7.10.2
2026-06-24T06:04:49.365+0000,2902,7,New dpkg (Debian Package) installed.,Wazuh-Manager,,,,,2026-06-24 06:04:47 status installed filebeat:amd64 7.10.2
2026-06-24T06:05:14.476+0000,2901,3,New dpkg (Debian Package) requested to install.,Wazuh-Manager,,,,,2026-06-24 06:05:14 install wazuh-dashboard:amd64 <none> 4.9.2-1
2026-06-24T06:05:24.493+0000,5901,8,New group added to the system.,Wazuh-Manager,,,,,"Jun 24 06:05:23 Wazuh-Manager groupadd[178042]: new group: name=wazuh-dashboard, GID=115"
2026-06-24T06:05:26.495+0000,5902,8,New user added to the system.,Wazuh-Manager,,,,,"Jun 24 06:05:25 Wazuh-Manager useradd[178054]: new user: name=wazuh-dashboard, UID=111, GID=115, home=/nonexistent, shell=/bin/false, from=/dev/pts/2"
2026-06-24T06:10:24.218+0000,2904,7,Dpkg (Debian Package) half configured.,Wazuh-Manager,,,,,2026-06-24 06:10:22 status half-configured wazuh-dashboard:amd64 4.9.2-1
2026-06-24T06:10:24.784+0000,5501,3,PAM: Login session opened.,Wazuh-Manager,,,,,Jun 24 06:10:24 Wazuh-Manager runuser[178259]: pam_unix(runuser:session): session opened for user wazuh-dashboard(uid=111) by azureuser(uid=0)
2026-06-24T06:10:26.156+0000,2902,7,New dpkg (Debian Package) installed.,Wazuh-Manager,,,,,2026-06-24 06:10:25 status installed wazuh-dashboard:amd64 4.9.2-1
2026-06-24T06:10:26.786+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:10:24 Wazuh-Manager runuser[178259]: pam_unix(runuser:session): session closed for user wazuh-dashboard
2026-06-24T06:10:26.786+0000,5501,3,PAM: Login session opened.,Wazuh-Manager,,,,,Jun 24 06:10:24 Wazuh-Manager runuser[178278]: pam_unix(runuser:session): session opened for user wazuh-dashboard(uid=111) by azureuser(uid=0)
2026-06-24T06:10:26.786+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:10:25 Wazuh-Manager runuser[178278]: pam_unix(runuser:session): session closed for user wazuh-dashboard
2026-06-24T06:10:26.786+0000,5501,3,PAM: Login session opened.,Wazuh-Manager,,,,,Jun 24 06:10:25 Wazuh-Manager runuser[178299]: pam_unix(runuser:session): session opened for user wazuh-dashboard(uid=111) by azureuser(uid=0)
2026-06-24T06:10:26.786+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:10:25 Wazuh-Manager runuser[178299]: pam_unix(runuser:session): session closed for user wazuh-dashboard
2026-06-24T06:10:59.879+0000,510,7,Host-based anomaly detection event (rootcheck).,Wazuh-Manager,,,,,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).
2026-06-24T06:10:59.889+0000,510,7,Host-based anomaly detection event (rootcheck).,Wazuh-Manager,,,,,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).
2026-06-24T06:11:11.042+0000,502,3,Wazuh server started.,Wazuh-Manager,,,,,ossec: Manager started.
2026-06-24T06:11:21.143+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:11:19 Wazuh-Manager sudo[125173]: pam_unix(sudo:session): session closed for user root
2026-06-24T06:12:05.184+0000,5501,3,PAM: Login session opened.,Wazuh-Manager,,,,,Jun 24 06:12:05 Wazuh-Manager sudo[180823]: pam_unix(sudo:session): session opened for user root(uid=0) by azureuser(uid=1000)
2026-06-24T06:12:05.184+0000,5403,4,First time user executed sudo.,Wazuh-Manager,,,,,Jun 24 06:12:05 Wazuh-Manager sudo[180823]: azureuser : TTY=pts/0 ; PWD=/home/azureuser ; USER=root ; COMMAND=/usr/bin/systemctl status wazuh-manager
2026-06-24T06:12:07.186+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:12:06 Wazuh-Manager sudo[180823]: pam_unix(sudo:session): session closed for user root
2026-06-24T06:12:11.190+0000,5501,3,PAM: Login session opened.,Wazuh-Manager,,,,,Jun 24 06:12:10 Wazuh-Manager sudo[180827]: pam_unix(sudo:session): session opened for user root(uid=0) by azureuser(uid=1000)
2026-06-24T06:12:11.190+0000,5402,3,Successful sudo to ROOT executed.,Wazuh-Manager,,,,,Jun 24 06:12:10 Wazuh-Manager sudo[180827]: azureuser : TTY=pts/0 ; PWD=/home/azureuser ; USER=root ; COMMAND=/usr/bin/systemctl status wazuh-indexer
2026-06-24T06:12:15.192+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:12:13 Wazuh-Manager sudo[180827]: pam_unix(sudo:session): session closed for user root
2026-06-24T06:12:19.196+0000,5402,3,Successful sudo to ROOT executed.,Wazuh-Manager,,,,,Jun 24 06:12:18 Wazuh-Manager sudo[180831]: azureuser : TTY=pts/0 ; PWD=/home/azureuser ; USER=root ; COMMAND=/usr/bin/systemctl status wazuh-dashboard
2026-06-24T06:12:19.196+0000,5501,3,PAM: Login session opened.,Wazuh-Manager,,,,,Jun 24 06:12:18 Wazuh-Manager sudo[180831]: pam_unix(sudo:session): session opened for user root(uid=0) by azureuser(uid=1000)
2026-06-24T06:12:21.198+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:12:21 Wazuh-Manager sudo[180831]: pam_unix(sudo:session): session closed for user root
2026-06-24T06:14:25.317+0000,5402,3,Successful sudo to ROOT executed.,Wazuh-Manager,,,,,Jun 24 06:14:25 Wazuh-Manager sudo[180837]: azureuser : TTY=pts/0 ; PWD=/home/azureuser ; USER=root ; COMMAND=/var/ossec/bin/agent_control -l
2026-06-24T06:14:25.317+0000,5501,3,PAM: Login session opened.,Wazuh-Manager,,,,,Jun 24 06:14:25 Wazuh-Manager sudo[180837]: pam_unix(sudo:session): session opened for user root(uid=0) by azureuser(uid=1000)
2026-06-24T06:14:25.317+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:14:25 Wazuh-Manager sudo[180837]: pam_unix(sudo:session): session closed for user root
2026-06-24T06:18:57.576+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:18:56 Wazuh-Manager sudo[180870]: pam_unix(sudo:session): session closed for user root
2026-06-24T06:18:57.576+0000,5402,3,Successful sudo to ROOT executed.,Wazuh-Manager,,,,,Jun 24 06:18:56 Wazuh-Manager sudo[180870]: azureuser : TTY=pts/0 ; PWD=/home/azureuser ; USER=root ; COMMAND=/var/ossec/bin/agent_control -l
2026-06-24T06:18:57.576+0000,5501,3,PAM: Login session opened.,Wazuh-Manager,,,,,Jun 24 06:18:56 Wazuh-Manager sudo[180870]: pam_unix(sudo:session): session opened for user root(uid=0) by azureuser(uid=1000)
2026-06-24T06:20:07.642+0000,5402,3,Successful sudo to ROOT executed.,Wazuh-Manager,,,,,Jun 24 06:20:06 Wazuh-Manager sudo[180873]: azureuser : TTY=pts/0 ; PWD=/home/azureuser ; USER=root ; COMMAND=/var/ossec/bin/wazuh-control info
2026-06-24T06:20:07.642+0000,5501,3,PAM: Login session opened.,Wazuh-Manager,,,,,Jun 24 06:20:06 Wazuh-Manager sudo[180873]: pam_unix(sudo:session): session opened for user root(uid=0) by azureuser(uid=1000)
2026-06-24T06:20:07.642+0000,5502,3,PAM: Login session closed.,Wazuh-Manager,,,,,Jun 24 06:20:06 Wazuh-Manager sudo[180873]: pam_unix(sudo:session): session closed for user root
2026-06-24T06:23:57.095+0000,501,3,New wazuh agent connected.,raya-agent,,,,,ossec: Agent started: 'raya-agent->any'.
2026-06-24T06:24:04.515+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,,95.182.106.61,,,Jun 24 06:23:44 raya-agent sshd[2992301]: Invalid user user2 from 95.182.106.61 port 62035
2026-06-24T06:24:05.208+0000,506,3,Wazuh agent stopped.,raya-agent,,,,,ossec: Agent stopped: 'raya-agent->any'.
2026-06-24T06:24:08.204+0000,503,3,Wazuh agent started.,raya-agent,10.0.0.4,,,,ossec: Agent started: 'raya-agent->any'.
2026-06-24T06:24:12.306+0000,510,7,Host-based anomaly detection event (rootcheck).,raya-agent,10.0.0.4,,,,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).
2026-06-24T06:24:12.451+0000,510,7,Host-based anomaly detection event (rootcheck).,raya-agent,10.0.0.4,,,,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).
2026-06-24T06:24:31.573+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:16 raya-agent sshd[2992572]: Invalid user ubnt from 145.239.196.189 port 34244
2026-06-24T06:24:31.573+0000,5503,5,PAM: User login failed.,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:17 raya-agent sshd[2992572]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=145.239.196.189
2026-06-24T06:24:31.591+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:17 raya-agent sshd[2992494]: Disconnected from invalid user user 95.182.106.61 port 62429 [preauth]
2026-06-24T06:24:31.591+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:18 raya-agent sshd[2992556]: Failed password for invalid user user2 from 95.182.106.61 port 62462 ssh2
2026-06-24T06:24:31.591+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,122.170.98.139,,,Jun 24 06:24:18 raya-agent sshd[2992575]: Invalid user unknown from 122.170.98.139 port 46955
2026-06-24T06:24:31.591+0000,5503,5,PAM: User login failed.,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:18 raya-agent sshd[2992576]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=95.182.106.61  user=root
2026-06-24T06:24:31.591+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:18 raya-agent sshd[2992579]: Invalid user user from 145.239.196.189 port 34256
2026-06-24T06:24:31.592+0000,5503,5,PAM: User login failed.,raya-agent,10.0.0.4,122.170.98.139,,,Jun 24 06:24:18 raya-agent sshd[2992575]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=122.170.98.139
2026-06-24T06:24:31.608+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:20 raya-agent sshd[2992581]: Invalid user admin from 95.182.106.61 port 62526
2026-06-24T06:24:31.608+0000,5503,5,PAM: User login failed.,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:18 raya-agent sshd[2992579]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=145.239.196.189
2026-06-24T06:24:31.608+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:19 raya-agent sshd[2992572]: Failed password for invalid user ubnt from 145.239.196.189 port 34244 ssh2
2026-06-24T06:24:31.608+0000,5503,5,PAM: User login failed.,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:20 raya-agent sshd[2992581]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=95.182.106.61
2026-06-24T06:24:31.608+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:20 raya-agent sshd[2992556]: Disconnected from invalid user user2 95.182.106.61 port 62462 [preauth]
2026-06-24T06:24:31.623+0000,5760,5,sshd: authentication failed.,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:20 raya-agent sshd[2992576]: Failed password for root from 95.182.106.61 port 62497 ssh2
2026-06-24T06:24:31.623+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,139.19.117.129,,,Jun 24 06:24:20 raya-agent sshd[2992583]: Invalid user admin from 139.19.117.129 port 40732
2026-06-24T06:24:31.623+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,122.170.98.139,,,Jun 24 06:24:20 raya-agent sshd[2992575]: Failed password for invalid user unknown from 122.170.98.139 port 46955 ssh2
2026-06-24T06:24:31.639+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:21 raya-agent sshd[2992579]: Failed password for invalid user user from 145.239.196.189 port 34256 ssh2
2026-06-24T06:24:31.639+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:22 raya-agent sshd[2992581]: Failed password for invalid user admin from 95.182.106.61 port 62526 ssh2
2026-06-24T06:24:31.639+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:22 raya-agent sshd[2992585]: Invalid user user from 95.182.106.61 port 62558
2026-06-24T06:24:31.649+0000,5503,5,PAM: User login failed.,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:22 raya-agent sshd[2992585]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=95.182.106.61
2026-06-24T06:24:31.666+0000,5712,10,sshd: brute force trying to get access to the system. Non existent user.,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:23 raya-agent sshd[2992581]: Disconnected from invalid user admin 95.182.106.61 port 62526 [preauth]
2026-06-24T06:24:31.666+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:24 raya-agent sshd[2992587]: Invalid user ubuntu from 145.239.196.189 port 34266
2026-06-24T06:24:31.666+0000,5503,5,PAM: User login failed.,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:24 raya-agent sshd[2992587]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=145.239.196.189
2026-06-24T06:24:31.666+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:24 raya-agent sshd[2992590]: Invalid user user2 from 95.182.106.61 port 62591
2026-06-24T06:24:31.683+0000,5503,5,PAM: User login failed.,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:24 raya-agent sshd[2992590]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=95.182.106.61
2026-06-24T06:24:31.683+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:25 raya-agent sshd[2992593]: Invalid user ec2-user from 145.239.196.189 port 49650
2026-06-24T06:24:31.683+0000,5503,5,PAM: User login failed.,raya-agent,10.0.0.4,145.239.196.189,,,Jun 24 06:24:25 raya-agent sshd[2992593]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=145.239.196.189
2026-06-24T06:24:31.683+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:26 raya-agent sshd[2992595]: Invalid user admin from 95.182.106.61 port 62617
2026-06-24T06:24:31.683+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:25 raya-agent sshd[2992585]: Failed password for invalid user user from 95.182.106.61 port 62558 ssh2
2026-06-24T06:24:31.699+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:27 raya-agent sshd[2992590]: Failed password for invalid user user2 from 95.182.106.61 port 62591 ssh2
2026-06-24T06:24:31.699+0000,5710,5,sshd: Attempt to login using a non-existent user,raya-agent,10.0.0.4,95.182.106.61,,,Jun 24 06:24:27 raya-agent sshd[2992585]: Disconnected from invalid user user 95.182.106.61 port 62558 [preauth]
